seconds,volt
0.009809255599975586,-4.1e-08
0.4831359386444092,2.2e-08
0.9641084671020508,2.5e-08
1.4442977905273438,-1e-09
1.9251914024353027,2.5e-08
2.405705690383911,2.3e-08
2.8862669467926025,-3e-09
3.3669769763946533,8e-09
3.848820924758911,1.5e-08
4.328042030334473,1.9e-08
4.809126377105713,9e-09
5.289997339248657,-1e-08
5.770203113555908,2.9e-08
6.251062870025635,8e-09
6.73128867149353,2.4e-08
7.2119996547698975,6e-09
7.6921069622039795,2.7e-08
8.174480676651001,7e-09
8.65364122390747,4.3e-08
9.134276866912842,-5e-09
9.616658926010132,-1e-09
10.095201969146729,1.7e-08
10.575108289718628,8e-09
11.056212902069092,-1.5e-08
11.53600811958313,3.3e-08
12.016329288482666,2.5e-08
12.496899604797363,1.7e-08
12.978034257888794,8e-09
13.457888841629028,9e-09
13.939152240753174,1.2e-08
14.419066667556763,2e-08
14.900135278701782,2.2e-08
15.380054473876953,3.9e-08
15.862982273101807,2.9e-08
16.341129302978516,4.7e-08
16.822110414505005,3.7e-08
17.301979780197144,4.4e-08
17.783102989196777,1e-08
18.2631356716156,2.5e-08
18.744080305099487,1.7e-08
19.22402787208557,1.2e-08
19.705124616622925,1.1e-08
20.18502116203308,3.7e-08
20.666053771972656,9e-09
21.14625358581543,3.4e-08
21.626891613006592,3.5e-08
22.107902765274048,7e-09
22.58808183670044,1.3e-08
23.069065809249878,1.3e-08
23.549830436706543,1.7e-08
24.030143976211548,1e-09
24.512377738952637,1.5e-08
24.991185188293457,3e-09
25.471928119659424,2.3e-08
25.952287912368774,2.4e-08
26.43288803100586,5e-09
26.91323471069336,1.6e-08
27.392993211746216,2.3e-08
27.8739275932312,1.2e-08
28.354114532470703,3.6e-08
28.83426594734192,4e-09
29.31496834754944,3.9e-08
29.795960187911987,3.9e-08
30.276082038879395,3.7e-08
30.756211519241333,1.7e-08
31.237157106399536,3.3e-08
31.717265129089355,3.5e-08
32.197863817214966,3.7e-08
32.67819428443909,1.6e-08
33.15808129310608,3e-09
33.63799333572388,3e-08
34.11916422843933,2.3e-08
34.59887981414795,3.7e-08
35.080024003982544,1.1e-08
35.55996346473694,2.1e-08
36.042601346969604,8e-09
36.52178359031677,2.6e-08
37.003034353256226,2.8e-08
37.48302388191223,-4e-09
37.96405482292175,2.6e-08
38.44401454925537,1.2e-08
38.92665386199951,5.1e-08
39.4049859046936,5.1e-08
39.88599967956543,2.3e-08
40.36607074737549,1.4e-08
40.848705768585205,-1e-08
41.32707619667053,2.7e-08
41.80801272392273,2.2e-08
42.28812909126282,4.1e-08
42.77062487602234,2.7e-08
43.2489697933197,2.5e-08
43.73007655143738,5.2e-08
44.2100133895874,8e-09
44.69261431694031,1.3e-08
45.17103910446167,1.6e-08
45.65195155143738,2.4e-08
46.13217043876648,1.7e-08
46.6144700050354,2.7e-08
47.09319519996643,2.4e-08
47.57374119758606,2.7e-08
48.05413246154785,2.3e-08
48.53492093086243,3.1e-08
49.015130281448364,3.7e-08
49.496325731277466,3e-08
49.97622060775757,1e-08
50.45858359336853,1.6e-08
50.937257051467896,2e-08
51.41809439659119,2.1e-08
51.89808464050293,3.9e-08
52.380661725997925,1.9e-08
52.85920453071594,3.6e-08
53.33924722671509,-3e-09
53.82011413574219,1.7e-08
54.301188468933105,1.2e-08
54.78125286102295,2.3e-08
55.262107133865356,2.8e-08
55.74209499359131,1.6e-08
56.22474503517151,1.2e-08
56.703126192092896,2.4e-08
57.18413758277893,9e-09
57.66419076919556,2.6e-08
58.14666414260864,3e-09
58.625049352645874,2.1e-08
59.10636353492737,3.1e-08
59.58690285682678,2.6e-08
60.06805658340454,1.2e-08
60.54813241958618,-2e-08
61.03081250190735,-9e-09
61.51001262664795,2.7e-08
61.99043560028076,2.1e-08
62.471030712127686,3.8e-08
62.95233750343323,1.1e-08
63.43210291862488,1.3e-08
63.91336798667908,1.8e-08
64.3930516242981,1.3e-08
64.8742687702179,6e-09
65.35409951210022,2e-09
65.83519983291626,1.7e-08
66.31502175331116,4.6e-08
66.7961413860321,1.6e-08
67.27608799934387,2.8e-08
67.75878095626831,2.3e-08
68.23710203170776,2.4e-08
68.7184751033783,-2e-09
69.20094537734985,4.1e-08
69.68005156517029,4e-08
70.16036081314087,-0.0
70.64261889457703,6e-09
